"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49"
"11",11,"6","3.754","84.95004","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4180.04","190715_Poo_TruePooFK180310_DDAneg50","84.95004:1307274 85.95339:0 86.95675:0","52.96024:15524 55.69277:7671 57.5937:8900 58.7117:8591 66.95821:7291 67.56465:7595 68.95514:252116 71.5498:7243 84.95008:4239522 85.02839:27368","4.265","3.967","3.867","3.839","3.757","3.759","2.827","3.842","3.867","3.81","3.763","3.789","3.763","4.124","3.82","3.855","3.919","3.775","4.043","3.965","3.869","3.831","3.852","3.754","3.754","3.754","3.754","3.88","3.857","3.987","3.809","3.849","3.754","3.843","3.856","3.863","3.884","3.824","3.868","3.853","3.075","3.754","3.754","4.154","3.754","3.754","4.294","3.754","4.175","4.173"
"12",12,"7","19.727","84.98954","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1002.02","190715_Poo_TruePooFK180310_DDAneg35","84.98952:787015 85.99287:0 86.99623:331194","52.34473:6736 56.78606:6796 61.03242:6405 74.23157:7176 81.97176:7209 83.39713:6567 85.02826:18665","20.124","19.544","19.804","19.764","19.736","19.976","19.952","19.736","19.95","19.655","19.971","19.703","19.739","19.67","19.673","19.725","19.396","19.481","19.729","19.797","19.819","19.775","19.984","19.664","19.753","19.832","19.715","19.051","20.002","19.739","19.78","19.749","19.757","19.732","19.426","19.727","19.854","19.436","19.674","19.767","19.69","19.541","19.439","19.448","19.887","19.943","19.633","19.767","19.606","19.81"
"13",13,"8","9.814","85.02827","Unknown","[M-H]-","","0.22","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.98","190715_Std_4uMStdsMix2InH2O_2","85.02827:595127 86.03162:116942 87.03498:238176","","9.863","9.79","9.877","9.646","9.825","9.78","9.831","9.725","9.807","9.879","9.822","9.824","9.807","9.942","9.754","9.704","9.734","9.831","9.738","9.842","9.912","9.822","9.875","9.858","9.77","9.806","9.936","9.834","9.802","9.92","9.744","9.8","9.835","9.772","9.895","9.856","9.847","9.924","9.877","9.777","9.769","9.772","9.777","9.858","9.743","9.935","9.853","9.973","9.876","9.855"
"14",14,"9","9.292","87.97141","Unknown","[M-H]-","ion correlated with 285; ion correlated with 153; adduct linked to 89_[M+Cl]-","0.82","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","95.13","190715_Poo_TruePooFK180310_DDAneg20","87.97149:2423616 88.97484:14968 89.9782:1531308","58.72261:7756 62.7632:7260 70.94494:9782 76.25124:5941 79.78039:6499","9.939","9.774","8.871","8.888","9.279","9.277","9.299","9.264","9.302","9.329","9.301","9.315","9.312","9.835","9.038","9.033","9.181","9.308","9.232","9.288","9.292","9.256","9.306","9.294","9.322","9.327","9.326","9.223","9.295","9.29","9.33","9.197","9.263","9.295","9.283","9.199","9.322","9.233","9.267","9.152","9.292","8.598","9.362","9.509","9.292","9.95","9.384","9.518","9.356","9.08"
"15",15,"10","10.152","88.03921","Unknown","[M-H]-","ion correlated with 217","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","16.72","190715_Std_4uMStdsMix1InMatrix_2","88.03921:538316 89.04256:192994 90.04592:0","","10.779","10.274","9.436","9.479","10.128","10.143","10.161","10.152","10.111","10.168","10.164","10.157","10.155","10.281","10.103","10.205","11.092","10.044","9.602","10.334","10.111","10.2","10.166","11.209","10.09","10.204","10.223","10.229","10.245","10.148","10.048","10.154","10.157","10.155","10.153","9.81","10.181","10.214","10.044","11.123","10.069","10.222","10.105","10.246","9.426","9.558","10.123","10.257","10.086","10.274"
"16",16,"11","14.025","88.98683","w/o MS2:Ingalls_Oxalic Acid","[M-H]-","","0.48","False","14.494","88.98681","","","","","530","True","True","False","","False","False","null","null","100","100","null","null","null","1605.86","190715_Smp_FK180310S62C1-DCM_B","88.98683:581984 89.99018:0 90.99354:518176","","14.025","14.025","13.696","14.204","14.032","14.012","14.037","13.24","13.727","14.093","14.027","14.023","13.97","14.122","14.004","13.682","14.023","13.914","14.11","14.043","13.956","14.057","13.705","14.016","14.011","14.1","13.997","13.683","13.656","14.082","14.074","13.821","13.915","14.135","13.665","13.163","13.757","13.959","13.342","14.005","14.42","14.025","14.304","14.816","14.314","14.818","14.162","14.741","14.478","15.118"
"17",17,"12","5.174","89.02324","Unknown","[M-H]-","","0.82","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","21.59","190715_Smp_FK180310S77C1-25m_C","89.02324:3963235 90.02659:164040 91.02995:357874","","6.07","5.167","5.006","5.017","5.276","4.837","4.849","5.064","5.009","4.911","5.172","4.816","4.813","5.799","5.027","5.009","5.155","5.153","5.07","5.1","5.196","5.105","4.964","5.105","5.254","5.184","4.952","5.066","5.099","5.256","5.022","5.024","5.097","5.04","5.178","4.791","5.04","5.209","4.913","5.086","5.101","5.127","5.862","6.051","5.185","5.163","5.887","5.22","5.864","5.211"
"18",18,"13","9.291","89.96846","Unknown","[M-H]-","ion correlated with 278","0.76","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","20.4","190715_Poo_TruePooFK180310_DDAneg50","89.96857:1622778 90.97192:0 91.97528:263841","58.82366:6617 75.91634:6823 85.12599:6863 90.00874:16506","9.939","9.79","8.887","8.873","9.279","9.281","9.303","9.264","9.302","9.329","9.282","9.326","9.322","9.804","9.038","9.033","9.181","9.308","9.217","9.256","9.292","9.256","9.306","9.31","9.322","9.327","9.326","9.223","9.31","9.29","9.346","9.197","9.263","9.295","9.298","9.214","9.322","9.248","9.298","9.167","9.588","9.682","9.346","9.509","9.036","9.619","9.414","9.501","9.387","9.794"
"19",19,"14","9.811","90.97015","Unknown","[M-H]-","","0.54","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.22","190715_Smp_FK180310S80C1-25m_A","90.97015:2676015 91.9735:0 92.97686:2470136","","10.384","9.543","9.557","9.856","9.825","9.816","9.798","9.725","9.776","9.819","9.78","9.783","9.779","10.373","9.603","9.841","9.719","9.816","9.632","9.842","9.805","9.822","9.952","9.796","9.847","9.868","10.102","9.85","9.787","9.798","9.79","9.676","9.681","9.85","9.803","9.613","9.786","9.863","9.847","9.641","9.814","9.712","9.851","9.978","9.879","9.799","9.794","9.943","9.802","10.035"
"20",20,"15","19.343","90.97016","Unknown","[M-H]-","","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","14.28","190715_Smp_FK180310S80C1-25m_A","90.97016:4014214 91.97351:0 92.97687:117157","","19.295","19.393","19.375","19.337","19.74","19.725","19.35","19.383","19.568","19.335","19.344","19.355","19.608","19.363","19.367","19.359","19.319","19.374","19.337","19.352","19.061","19.332","19.439","19.093","19.285","19.235","19.154","19.343","19.414","19.061","19.266","19.359","19.32","19.366","19.608","19.342","19.306","19.038","19.384","19.384","19.369","19.375","19.408","19.418","19.289","19.307","19.28","19.328","19.331","19.311"
"21",21,"16","14.077","90.97016","Unknown","[M-H]-","","0.5","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.3","190715_Smp_FK180310S80C1-25m_A","90.97016:3121486 91.97351:0 92.97687:370643","","13.672","13.911","14.001","14.023","14.056","14.08","14.063","13.982","14","14.169","14.09","14.058","14.036","14.705","14.036","14.049","14.069","14.218","14.186","14.167","14.188","14.135","14.163","14.096","14.178","14.039","14.148","14.247","14.323","14.082","14.059","13.975","13.976","14.014","14.241","14.149","14.122","14.081","14.121","12.867","14.131","14.098","14.24","13.897","14.025","14.155","14.422","13.806","13.947","13.896"
"22",22,"17","12.848","90.97019","Unknown","[M-H]-","","0.38","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.84","190715_Smp_FK180310S64C1-DCM_B","90.97019:3068530 91.97354:0 92.9769:323082","","12.853","12.827","13.072","12.769","12.831","12.866","12.852","12.775","12.822","12.87","12.873","12.858","12.773","12.854","12.864","12.791","12.935","12.886","12.837","12.935","12.723","12.851","12.853","12.794","12.828","12.907","12.866","12.94","12.765","12.798","12.784","12.834","12.803","12.799","12.823","12.784","12.85","12.779","12.846","12.867","12.919","12.817","12.874","12.905","12.917","12.874","12.737","12.901","12.889","12.869"
"23",23,"18","2.346","91.0209","Unknown","[M-H]-","","0.44","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.56","190715_Blk_KM1906U14-Blk_C","91.0209:3754214 92.02425:294137 93.02761:402186","","2.384","2.381","2.37","2.369","2.354","2.341","2.36","2.333","2.32","2.328","2.093","2.385","2.366","2.385","2.333","2.359","2.361","2.345","2.339","2.346","2.31","2.371","2.31","2.355","2.321","2.353","2.344","2.355","2.311","2.328","2.335","2.362","2.296","2.326","2.346","2.322","2.297","2.341","2.335","2.375","2.314","2.354","2.323","2.372","2.299","2.39","2.28","2.354","2.36","2.371"
"24",24,"19","9.994","91.05809","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1232.39","190715_Poo_QC-KM1906_E","91.05809:179715 92.06144:0 93.0648:179766","","10.292","10.333","9.436","9.479","9.718","9.766","9.823","9.619","9.7","9.696","9.731","9.788","9.807","10.296","9.633","9.567","9.614","9.724","9.586","9.751","9.759","9.913","9.751","9.766","9.77","9.713","9.815","9.683","9.994","10.103","9.851","9.599","9.789","9.789","9.758","9.628","9.77","9.635","9.65","10.276","9.994","9.907","10.105","10.291","10.588","9.994","10.123","10.242","10.131","10.289"
"25",25,"20","9.303","91.96551","Unknown","[M-H]-","ion correlated with 503; ion correlated with 516; ion correlated with 445; ion correlated with 418; ion correlated with 364; ion correlated with 453; adduct linked to 102_[M+Cl]-","0.58","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2411.32","190715_Smp_FK180310S77C1-25m_A","91.96551:286852 92.96886:12171 93.97222:0","","9.972","10.018","8.887","8.888","9.319","9.32","9.299","9.279","9.302","9.329","9.301","9.315","9.331","9.835","9.298","9.017","9.32","9.293","9.232","9.288","9.292","9.302","9.336","9.294","9.322","9.311","9.326","9.223","9.295","9.29","9.33","9.182","9.263","9.326","9.298","9.229","9.322","9.233","9.343","9.182","8.595","9.303","10.15","9.303","9.303","9.303","9.303","9.303","9.303","9.303"
"26",26,"21","8.744","92.92683","Unknown","[M-H]-","similar chromatogram in higher mz_193","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1870.08","190715_Smp_FK180310S64C1-25m_B","92.92683:8176326 93.93018:0 94.93354:11076571","","7.958","9.467","8.81","8.751","8.746","8.745","8.826","8.847","8.751","8.733","8.663","8.754","8.738","9.356","8.823","8.728","8.889","8.665","8.692","8.686","8.812","8.768","8.768","8.753","8.695","8.773","8.805","8.809","8.76","8.754","8.735","8.858","8.784","8.745","8.732","8.768","8.6","8.74","8.654","8.799","9.467","8.744","8.993","8.845","8.744","8.445","9.293","9.501","9.128","8.974"
"27",27,"22","9.551","92.92683","Unknown","[M-H]-","adduct linked to 108_[M+Cl]-","0.64","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8333.74","190715_Smp_FK180310S64C1-25m_B","92.92683:5465252 93.93018:0 94.93354:6620635","","9.769","9.774","8.81","9.569","9.549","9.552","9.551","9.45","9.502","9.543","9.506","10.716","9.533","9.556","9.633","9.841","9.26","9.525","9.402","9.535","9.65","9.546","9.552","9.595","9.539","9.451","9.571","9.468","9.584","9.552","9.499","9.444","9.557","9.509","9.575","9.414","9.508","9.512","9.512","9.366","9.467","9.551","9.423","9.509","9.551","9.551","9.384","9.501","9.372","9.672"
"28",28,"23","8.397","92.92685","Unknown","[M-H]-","similar chromatogram in higher mz_181","0.36","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","473.55","190715_Poo_TruePooFK180310_DDAneg20","92.92693:1165202 93.93028:0 94.93364:1314683","51.31097:6954 65.01334:41434 65.99731:15829 68.70119:7620 80.6279:6516 91.11703:7328 92.92696:193971 92.95877:53068 93.00046:10376 93.00838:66125","7.958","8.397","8.81","8.461","8.057","8.357","7.874","8.504","8.521","8.123","8.507","8.374","8.501","7.701","8.547","8.236","8.889","8.285","8.583","8.686","8.582","8.296","8.49","8.676","8.695","8.22","8.315","8.565","8.41","8.54","8.536","8.627","8.538","8.745","8.686","8.599","8.6","8.586","8.654","8.462","8.397","8.397","8.993","8.845","8.397","8.445","7.771","8.397","9.128","8.974"
"29",29,"24","8.985","92.92688","Unknown","[M-H]-","similar chromatogram in higher mz_27; similar chromatogram in higher mz_198","0.46","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2871.6","190715_Poo_TruePooFK180310_Fullneg120","92.92688:12263353 93.93023:0 94.93359:29212160","","9.463","9.467","8.81","8.888","9.006","8.879","8.975","9.093","8.95","8.871","8.981","9.001","8.995","9.356","9.145","9.17","8.889","8.924","8.925","9.055","8.905","8.936","9.015","8.922","8.909","9.157","9.021","8.962","8.974","9.06","8.948","8.858","8.954","8.883","8.991","8.906","8.967","9.015","8.96","9.013","9.467","8.985","8.993","8.845","8.985","8.985","9.293","8.985","9.128","8.974"
"30",30,"25","9.44","92.95871","Unknown","[M-H]-","","0.92","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","43.28","190715_Poo_TruePooFK180310_DDAneg50","92.95885:2367617 93.9622:268691 94.96556:2559138","51.79037:7264 55.6464:6808 56.82786:6731 59.56223:6086 60.57851:7447 62.42455:7239 65.01334:19554 76.02909:6679 92.92693:249062 92.95898:48836 92.96201:10737 93.00832:20055 93.03349:31071","10.201","9.361","9.252","9.267","9.365","7.98","9.722","8.334","9.625","9.711","7.839","9.711","9.703","10.129","9.451","9.506","8.675","9.709","9.54","9.643","9.728","9.639","9.736","9.688","9.679","9.666","9.77","9.622","9.755","9.689","9.652","9.538","9.62","8.364","9.697","9.537","10.105","9.651","9.665","8.325","8.745","8.883","9.286","9.692","9.531","9.454","9.111","9.654","9.636","9.489"
"31",31,"26","4.023","93.00017","Unknown","[M-H]-","","0.8","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.87","190715_Smp_FK180310S62C1-DCM_B","93.00017:564559 94.00352:54461 95.00688:6053806","","4.25","4.27","3.928","3.975","4.028","4.058","3.966","3.95","3.958","3.946","3.941","4.009","3.941","4.261","3.988","3.961","3.949","3.955","3.952","4.072","3.962","3.952","3.96","3.97","3.937","3.981","3.975","3.956","4.023","3.987","3.976","3.97","4.021","3.979","3.977","3.953","3.96","3.975","3.943","3.975","4.004","4.088","4.234","4.065","4.042","3.987","4.219","4.293","4.266","4.295"
"32",32,"27","8.825","94.92391","Unknown","[M-H]-","","0.6","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","31.01","190715_Poo_TruePooFK180310_Fullneg120","94.92391:8041992 95.92726:0 96.93062:4860628","","8.761","8.833","8.887","8.827","9.295","8.357","8.826","8.893","8.874","8.718","8.663","9.001","8.852","8.741","8.777","9.155","8.904","9.031","8.583","8.794","8.689","8.296","8.923","8.753","8.909","9.157","8.315","8.809","8.974","9.06","8.963","8.873","8.753","8.715","8.991","8.845","8.6","9.015","8.853","8.768","8.825","8.747","8.662","8.74","8.825","8.61","8.654","8.74","8.976","8.824"
"33",33,"28","9.467","94.92391","Unknown","[M-H]-","adduct linked to 116_[M+Cl]-; similar chromatogram in higher mz_39","0.82","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","38.46","190715_Poo_TruePooFK180310_DDAneg35","94.92393:2193796 95.92728:0 96.93064:858208","56.76255:6097 56.90789:7366 57.22867:6558 60.73103:7038 63.65205:8438 63.94067:7556 69.78148:6443 76.78153:6075 76.96886:282168 78.17:6597 90.33135:6833 94.92395:185782 94.97948:159634 94.98263:12286","9.54","9.835","9.527","9.584","9.549","9.242","9.551","9.465","9.502","9.528","9.506","9.622","9.533","9.725","9.709","8.236","9.29","9.556","9.433","9.55","9.65","9.394","9.582","9.595","9.554","8.22","9.632","9.971","9.584","9.552","9.545","9.414","9.557","9.509","9.575","9.414","9.523","9.543","9.512","9.29","9.467","9.426","9.408","9.524","9.467","9.95","9.414","9.425","9.372","9.672"
"34",34,"29","7.777","94.97949","w/o MS2:Ingalls_Methylphosphonic Acid","[M-H]-","","0.42","False","11","94.9795","","","","","530","True","True","False","","False","False","null","null","100","99.9","null","null","null","9.78","190715_Std_H2OinMatrix_2","94.97949:8764883 95.98284:353456 96.9862:126338","","7.715","7.763","9.452","9.479","7.773","7.785","7.777","7.757","7.731","7.668","7.759","7.779","7.86","7.792","7.707","7.781","7.825","7.634","7.792","7.718","7.675","7.702","7.773","7.721","7.815","7.745","7.753","7.676","8.153","7.67","7.82","7.697","7.664","7.622","7.799","7.588","7.914","7.695","7.668","7.688","7.764","7.799","7.757","7.642","7.799","7.764","7.141","7.805","7.816","5.818"
"35",35,"30","10.09","94.97952","Unknown","[M-H2O-H]-","adduct linked to 172_[M+Cl]-","0.68","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","66.7","13.83","190715_Poo_TruePooFK180310_DDAneg20","94.97952:2626846 95.98287:205171 96.98623:8020772","55.00479:7325 59.96602:16033 75.96101:16494 76.96889:3223846 78.91765:18994 79.99649:8065 84.61099:7059 85.47231:6793 86.1125:7168 91.30093:8524 94.91267:46924 94.92404:9981 94.95612:58488 94.97952:1661331 95.02402:33472","11.037","10.318","10.103","10.051","9.788","9.816","9.827","10.092","10.05","10.077","9.819","10.086","10.08","10.418","10.663","10.069","10.112","9.983","9.936","9.889","10.096","10.049","10.32","10.044","10.06","10.234","10.117","10.032","10.094","10.118","10.229","10.138","10.034","10.125","10.062","9.871","10.045","9.894","10.18","9.943","10.099","9.952","10.06","10.008","10.03","10.145","10.018","10.123","10.101","10.05"
