14	9.657	87.09222	Unknown	[M+H]+	adduct linked to 60_[M+NH4]+; similar chromatogram in higher mz_21	0.48	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.27	190715_Poo_TruePooFK180310_DDApos35	87.09231:730383 88.09566:484177 89.09902:162950	53.77398:6344 63.80196:7555 70.06586:81853 70.18724:6816 76.40508:7060 87.04468:12706 87.05581:10482 87.0923:174322	1932908	1481906	982351	2870862	765122	1181060	830367	2749535	4150232	1584475	627275	608489	185764	1094944	1778027	1828119	1457319	1990327	1367886	967714	1010681	5291128	741736	4241426	2900542	1090312	4293254	7785350	830496	9704293	3425570	1029120	2378736	937572	744451	1226257	2058375	11109371	1607499	5466582	963088	1534555	1274050	1110394	1212358	3487105	573557	598175	1293686	2998902	2267066.0209375	2255231.43560849
15	6.221	87.09229	Unknown	[M+H]+		0.6	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.43	190715_Poo_TruePooFK180310_DDApos50	87.09229:1427051 88.09564:999647 89.099:287542	53.03942:13820 58.45969:9224 62.24676:7798 68.2049:7288 70.06587:381839 72.81567:7601 76.2991:6801 78.68069:7901 87.05592:13166 87.08938:15812	7634724	827197	741441	1121764	4052234	576573	3170192	3168913	1086202	4062836	1010070	625941	1628054	4103336	1768861	1464996	3491074	5183189	675105	2846054	1821299	7300314	8159476	4285051	4547042	1202030	3546289	1530580	4544251	2808934	4061730	7001849	619060	4375980	6730773	2801061	3663692	2556348	1209966	2619580	673694	1146647	4746779	4305410	871721	372015	5645806	385992	910530	2696142	2927575.8425	2109447.55997121
16	3.721	87.09231	Unknown	[M+H]+		0.38	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	12.34	190715_Poo_TruePooFK180310_DDApos20	87.09229:1971482 88.09564:1394885 89.099:561941	50.3814:6835 51.75209:7509 53.03938:29818 54.36582:6015 58.06609:7872 64.00079:7114 70.06586:603730 79.07961:6781 81.02068:8211 87.04436:9933 87.05592:16129 87.09229:252896	444348	264071	342633	3155933	4591828	1422366	4830542	656748	1871606	2868322	673780	582970	6289246	1347953	2797316	1148240	4653431	5442678	3636165	3585347	598930	889077	879331	511736	322118	443244	3976147	586351	1217819	2901099	1039645	7368250	800388	4546916	551272	547100	337019	2647015	423170	2697130	781406	363632	766314	1322586	520750	173768	272570	212428	1361950	402526	1801344.19625	1814269.69304422
17	10.893	88.03981	Unknown	[M+H]+		0.36	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.14	190715_Std_4uMStdsMix2InMatrix_1	88.03981:245212 89.04316:0 90.04652:196689		458229	379236	1704155	367216	42110	51916	38866	1938179	214342	344934	72455	40792	81954	558136	597610	432980	2025404	444854	2183984	324185	2293382	1470685	458425	1321929	300619	596273	482444	2011153	613542	288561	146197	2987885	1874356	1172670	436607	1501846	521692	314913	417138	1505279	3092208	1968416	1759970	1843452	4123460	2584491	4346304	3011979	2070508	313304	1162624.54023438	1101023.12177797
18	3.92	88.07629	Unknown	[M+H]+		0.52	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.37	190715_Smp_FK180310S77C1-25m_B	88.07629:730940 89.07964:157554 90.083:61553		4065790	5943607	6156581	2267934	1595269	3890436	1553682	6341180	8591140	11141787	857329	2591442	1880011	3849714	4365334	2345004	5801652	8742625	6145698	6094415	7026024	5223660	11797964	5642124	9280889	7928148	6134886	6295202	6085178	9351301	5186703	12403435	5124420	9554500	8685580	4185170	5512172	9463310	8717127	8659072	5333696	2845099	3901051	4048825	4172537	3309857	7899380	9373102	4678686	4084813	5922490.9	2787152.48974566
19	8.503	88.11263	Unknown	[M+H]+		0.72	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	20.57	190715_Smp_FK180310S77C1-25m_A	88.11263:293603 89.11598:22843 90.11934:57264		570134	1037281	3716580	5345288	799261	2737952	1161514	3620102	4085974	6524606	798584	2394561	3608207	313173	4208935	5426506	4912547	5758533	4117076	4150628	4466001	5067831	6048112	3708786	4190656	4106593	6258595	5293349	6434705	4440333	5692258	4460123	4684316	6325213	6652654	3223770	3385346	4449554	7355688	3764079	1264394	547635	770420	604754	589485	449363	902623	647404	2234566	856154	3483244.121875	2092804.79149074
20	10.172	89.04237	Unknown	[M+H]+		0.64	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.95	190715_Smp_FK180310S77C1-25m_B	89.04237:143641 90.04572:184128 91.04908:216083		576163	566540	1241263	592629	57518	86710	131292	945705	1371422	638697	38882	83429	65572	1092997	627191	136396	824620	578861	1834312	2089978	2760821	645704	981976	1813192	1094433	1627382	879300	852618	325047	2851048	1341245	1738208	2151151	279781	505222	1968542	1463594	1485510	351273	2240598	19808	264023	498713	99996	35825	353198	94894	257199	26711	295490	857653.5971875	769085.454449154
21	9.386	89.07153	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.4	190715_Smp_FK180310S62C1-25m_A	89.07153:155559 90.07488:197611 91.07824:257088		255800	629439	714780	875253	18664	25181	6983	823396	267522	82279	8810	14034	235053	1410010	646543	218337	856469	639012	201446	322559	236082	802812	65214	208570	149982	162777	684472	68974	105100	467822	660428	106174	384498	19197	32499	1163013	117038	567247	151742	528753	804150	559598	421808	540938	369946	513864	288650	540835	596823	444606	400303.607363281	323505.19379635
22	9.635	90.05547	Unknown	[M+H]+	similar chromatogram in higher mz_769	0.88	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	70.72	190715_Std_4uMStdsMix2InH2O_1	90.05547:6509598 91.05882:427206 92.06218:809158		475786	2726901	20449898	21255112	681429	1681758	1232573	6785772	4627610	4675346	456842	1600798	1827182	1822980	5422622	5881892	6511890	4536198	18322832	5039864	10262354	7428891	4249723	5280142	8416858	3346366	3782003	4734150	3845778	4077502	5601470	6176813	4663370	4417050	4046367	6801126	7186082	2767142	3963676	5491880	273381	486036	3482180	2454868	86897392	72491680	44958064	32840368	2909598	2590748	9438766.945	16653466.377962
23	10.283	90.0555	w/o MS2:Ingalls_beta-Alanine	[M+H]+	similar chromatogram in higher mz_159	0.94	False	11.317	90.0555					530	True	True	False		False	False	null	null	100	100	null	null	null	80.13	190715_Std_4uMStdsMix1InMatrix_2	90.0555:2910774 91.05885:194653 92.06221:633388		2047141	5078356	7929021	9107374	592849	634870	2514414	11599647	8071366	9098228	406260	2250949	5749173	5819366	5508147	6984442	10383856	7103109	11483831	5981444	19596308	7837704	13854503	12926694	6966308	6127074	12345015	17258926	6511675	16893402	4220185	7338378	13582306	5620649	7257079	7810414	25146312	3997486	10940352	7546601	35042740	29503032	4073755	38140076	35674664	32965412	39029688	35225784	4649500	10470347	11937924.324375	10629507.1117684
24	5.446	90.09187	Unknown	[M+H]+		0.92	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1262.55	190715_Poo_TruePooFK180310_DDApos20	90.09196:1822120 91.09531:83917 92.09867:0	53.29332:7187 55.21149:7832 56.05023:11543 60.00669:7645 62.84724:6844 67.32285:9485 68.97594:7759 70.06585:50633 70.25182:6443 72.0815:958024 72.49438:7098 73.06541:6987 76.47948:8016 82.23746:6988 89.72763:7342 90.09193:637615	6354828	1499129600	1344714112	1999268992	26340870	27852572	7087118	22525568	21139220	32350782	12817284	29918936	26702596	12867051	12429502	16704093	7692572	143757104	53984900	11599663	8277986	61550276	11187329	17100830	32218880	16090320	17703988	14258533	12286057	9681886	34297004	13533384	9003413	14255259	88215296	5956516	12549955	12890928	12973753	8702600	474021	321826	858110592	838343232	399375	789294	890102208	853958016	921735040	861538944	219074882.125	457402735.002122
25	3.119	93.04525	Unknown	[M+H]+		0.36	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.35	190715_Smp_FK180310S77C1-25m_C	93.04525:293122 94.0486:1225031 95.05196:450915		3628865	618305	1576116	1004249	748754	296939	270588	3189902	1530238	1695569	239181	280177	601039	519799	2356123	2179668	1085525	491068	1309447	2024572	1423562	3543855	2919325	3352221	1248869	1246661	3167600	1591111	4279080	2296820	3727956	2018806	682885	6879298	4986857	1232942	1952696	1919741	1792162	1918078	600188	384665	620181	361089	664290	323203	408664	402335	259528	836438	1653744.60875	1410849.0146246
26	9.778	93.07434	w/o MS2:"Ingalls_DL-Alanine, D3"	[M+H]+		0.92	False	11.31	93.07431					530	True	True	False		False	False	null	null	100	100	null	null	null	52.33	190715_Poo_QC-KM1906_E	93.07434:1608236 94.07769:82682 95.08105:546460		17191784	17817904	23874622	24539150	3657407	5112598	2663046	12574350	8785870	7702498	2655998	3843148	4504462	12114562	9833445	9490664	11398949	9509017	14270691	11072637	14006491	9416447	8324032	9935092	9316813	9843205	6871538	10562294	7418672	8321769	9635394	14425179	12593087	8829506	7832982	13626190	9752619	8518373	8745826	11787421	716904	357558	17362916	11591662	1141734	444695	17533346	12377612	18220564	11562751	10073709.48875	5395065.99443368
27	6.242	93.13783	Unknown	[M+H]+		0.68	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	338.34	190715_Smp_FK180310S62C1-DCM_B	93.13783:89485 94.14118:0 95.14454:0		1630222	1153561	1432060	1296858	35508	36351	98246	1654149	735207	1329830	32294	38666	66411	673840	21251	39413	658764	1443484	1054509	1613073	1843545	1412419	1578061	937200	1289134	617976	855586	1606165	1337672	67717	1391103	1425804	803521	1527051	1480214	1502267	1445628	27416	898311	1185500	0	7608	896517	635108	0	0	38976	52996	905870	679074	829842.782998047	625029.376967186
28	13.279	94.04548	Unknown	[M+H]+		0.86	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	14.98	190715_Std_4uMStdsMix2InMatrix_2	94.04548:6320752 95.04883:1013756 96.05219:45590		61404708	101806344	44773956	50397304	11919533	24072780	6483731	44252144	138723376	89107032	3461158	23818646	60911680	58600988	67260928	51523272	126082256	51602372	65070468	46998096	31961450	55680356	44964592	14621289	132701616	39664496	74528368	36706288	96517368	73905304	92384592	31890440	56761680	85623632	141798496	56485016	115957384	147724016	50542316	71106848	32670300	42884756	75969968	34195168	24145416	28360626	44256248	74293056	47716120	57664300	60839045.535	35351688.2599241
29	9.255	94.04556	Unknown	[M+CH3OH+H]2+	adduct linked to 444_[M+K]+	0.48	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	12.62	190715_Smp_FK180310S77C1-25m_B	94.04556:4905128 95.04891:904273 96.05227:13942		33744780	55296796	34644956	33396878	10149998	10346101	2584323	68988976	79879816	53016648	7165934	3510414	40939184	14784062	15093021	16766220	29799748	53455304	28786522	37280268	45001132	20374974	34942516	33084602	82244064	16801892	53617844	19457358	79248392	100956120	62959396	15208062	48163248	44933608	48947580	32410096	23655754	86597216	33894828	40310152	19808276	41593644	26017054	56740276	23795410	44061560	36995844	33380238	21480096	30291606	37732055.735	22431121.5576881
30	4.439	94.06555	Unknown	[M+H]+		0.64	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	24.65	190715_Std_4uMStdsMix1InMatrix_2	94.06555:1515073 95.0689:902046 96.07226:129975		446357	3800910	7060522	4765003	4979242	3892500	1706704	5940688	4704462	4675158	1735520	4763384	2415530	2836108	1424675	4577679	2876235	3893934	27769626	1723360	6105878	4543387	4694118	6516553	14849616	3109418	2684022	4458870	3781268	14871359	18913172	4581170	1792196	2714783	7038304	4045083	4548948	8647167	4966626	1714409	11117973	27809850	1762381	7469085	5501754	17509730	2554232	2662709	2437456	2784145	6043465.235	5987643.33621722
31	13.189	94.54596	Unknown	[M+H]+		0.26	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.39	190715_Smp_FK180310S62C1-25m_A	94.54596:964498 95.54931:91403 96.55267:0		5837442	10455056	11902975	8938823	1921389	1645690	492933	9544726	22797064	8176084	818962	2653479	4372418	3725875	9751031	9027254	17116402	13684598	10842625	5615628	3449965	1911783	7765811	2494180	15347156	5217438	26503938	2487656	15372769	4574795	16104103	2737451	7286540	6596132	16572246	2971910	6966632	19494422	13761143	11086570	4762097	5262977	2238975	5386060	3468540	9584826	3584018	6340182	5478446	6053288	8003650.073125	5889223.37280479
32	13.223	95.04435	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.63	190715_Smp_FK180310S64C1-25m_C	95.04435:994528 96.0477:65629 97.05106:664299		3632657	17813774	13237500	4712242	1173038	3670756	1455201	4188120	20374058	18058428	1430458	4146540	1774559	10314685	6546787	6955057	14006654	10207723	9058898	2820846	4873577	2959718	12453599	2527987	14962851	7408453	9652657	4131054	7967786	19399620	17986026	4446922	3683964	4391043	12602482	11181709	8160092	8369419	13334709	16067269	4317802	4132150	2842489	5297676	3003723	4879063	3443153	10585156	9743170	7947334	7966612.7625	5312397.66116602
33	19.634	96.95775	Unknown	[M+H]+		0.42	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	29.81	190715_Blk_KM1906U14-Blk_C	96.95775:778625 97.9611:0 98.96446:0		21270266	1873468	3385650	884555	5062786	437777	1186922	1647229	18476652	13175725	223258	1585495	4782318	191892	1912751	1936990	2183504	9891400	2175208	10085081	7829050	2865122	9546477	8092300	22820842	17955020	12133015	2524430	14391434	9663934	16630009	1808948	1501975	1474492	11638593	927936	13435282	12329164	10908545	1616360	841260	610164	1265389	759236	902218	1080147	1020104	383488	749339	2954821	5860560.399375	6310886.43892151
34	2.59	97.04016	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.57	190715_Smp_FK180310S77C1-25m_C	97.04016:223680 98.04351:65247 99.04687:406497		1859011	1245647	1676035	2043753	194642	400928	654318	3821199	1352050	2257277	346069	1237712	1172573	513115	670545	727242	1510834	1386971	1167220	1109158	1551644	2026862	3612046	1601786	1477819	1469863	1098250	2381953	2397190	3505699	3115944	1985162	1394016	2038629	1998588	1167378	3495701	3015808	2324421	1808150	321249	260984	885994	1366560	459813	1006242	892057	477510	857605	1092722	1528678.82375	924204.532522122
35	2.72	97.0653	Unknown	[M+H]+		0.28	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.84	190715_Poo_TruePooFK180310_DDApos35	97.07656:1234259 98.07991:772972 99.08327:1136076	52.45694:6605 55.01865:19847 55.05498:8610 64.38324:7221 67.05499:13124 69.07059:81767 79.05489:95508 95.04941:9221 97.02908:8769 97.04009:18027 97.04813:7635 97.06531:701023 97.0765:195289	9000520	7919854	21273738	8081090	2987880	4848093	1894692	8587428	7226607	12277749	2717594	2389695	9606829	11029707	6965399	17953732	6956573	29999082	25877912	9923479	9603099	24030528	11280434	14489525	15172389	8384624	13149885	6374955	13409280	10873335	10169856	9759731	7434014	10575873	9369297	15736716	24056780	13567759	19071934	15176039	19804118	8046294	7458554	6615299	8299831	5281356	6625971	7655127	7880416	8817992	11113773.285	6203133.65535334
