"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49"
"11",11,"6","3.754","84.95004","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4180.04","190715_Poo_TruePooFK180310_DDAneg50","84.95004:1307274 85.95339:0 86.95675:0","52.96024:15524 55.69277:7671 57.5937:8900 58.7117:8591 66.95821:7291 67.56465:7595 68.95514:252116 71.5498:7243 84.95008:4239522 85.02839:27368","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95001","84.95004","84.94998","84.95004","84.95004","84.95004","84.95004","84.95007","84.95001","84.95004","84.95004","84.95005","84.95004","84.95003","84.95001","84.95004","84.95004","84.95004","84.95007","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004","84.95004"
"12",12,"7","19.727","84.98954","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1002.02","190715_Poo_TruePooFK180310_DDAneg35","84.98952:787015 85.99287:0 86.99623:331194","52.34473:6736 56.78606:6796 61.03242:6405 74.23157:7176 81.97176:7209 83.39713:6567 85.02826:18665","84.98954","84.98954","84.98954","84.98954","84.98954","84.98952","84.98959","84.98954","84.98952","84.98954","84.98953","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98949","84.98954","84.98954","84.98951","84.98954","84.98954","84.98954","84.98951","84.98954","84.98951","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98953","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954","84.98954"
"13",13,"8","9.814","85.02827","Unknown","[M-H]-","","0.22","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.98","190715_Std_4uMStdsMix2InH2O_2","85.02827:595127 86.03162:116942 87.03498:238176","","85.02827","85.02827","85.02827","85.02837","85.02827","85.02827","85.02827","85.02824","85.02828","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02833","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02834","85.02827","85.02827","85.02827","85.02827","85.02827","85.02832","85.02827","85.02827","85.02827","85.02825","85.02827","85.02827","85.02827","85.02827","85.02827","85.02827","85.02834","85.02827","85.02833","85.0283","85.02827","85.02827"
"14",14,"9","9.292","87.97141","Unknown","[M-H]-","ion correlated with 285; ion correlated with 153; adduct linked to 89_[M+Cl]-","0.82","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","95.13","190715_Poo_TruePooFK180310_DDAneg20","87.97149:2423616 88.97484:14968 89.9782:1531308","58.72261:7756 62.7632:7260 70.94494:9782 76.25124:5941 79.78039:6499","87.97145","87.97144","87.97148","87.9715","87.97149","87.97148","87.97153","87.97142","87.97144","87.9715","87.97141","87.97148","87.97147","87.97141","87.97145","87.97151","87.97147","87.97144","87.97143","87.97144","87.97144","87.97144","87.97143","87.97144","87.97145","87.97147","87.97147","87.97145","87.97141","87.97144","87.97145","87.97143","87.97143","87.97142","87.97139","87.97141","87.97145","87.97142","87.97144","87.97145","87.97141","87.97141","87.97144","87.97141","87.97141","87.97141","87.97141","87.97141","87.97146","87.97141"
"15",15,"10","10.152","88.03921","Unknown","[M-H]-","ion correlated with 217","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","16.72","190715_Std_4uMStdsMix1InMatrix_2","88.03921:538316 89.04256:192994 90.04592:0","","88.03921","88.03919","88.03924","88.03928","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03926","88.03921","88.03916","88.03921","88.03921","88.03921","88.03921","88.03915","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03921","88.03916","88.03925","88.03915","88.03922","88.03921","88.03919","88.03922","88.03925","88.03919","88.0392","88.03925"
"16",16,"11","14.025","88.98683","w/o MS2:Ingalls_Oxalic Acid","[M-H]-","","0.48","False","14.494","88.98681","","","","","530","True","True","False","","False","False","null","null","100","100","null","null","null","1605.86","190715_Smp_FK180310S62C1-DCM_B","88.98683:581984 89.99018:0 90.99354:518176","","88.98683","88.98683","88.98685","88.98687","88.98683","88.98683","88.98683","88.98682","88.98678","88.98683","88.98683","88.98683","88.98683","88.98679","88.98683","88.98692","88.98683","88.98683","88.98683","88.98683","88.98683","88.98683","88.98685","88.98683","88.98683","88.98683","88.98683","88.98685","88.98679","88.98683","88.98683","88.98682","88.98683","88.98683","88.98679","88.98682","88.98683","88.98683","88.98684","88.98683","88.98684","88.98683","88.98689","88.98688","88.98681","88.98672","88.98682","88.98684","88.98686","88.98679"
"17",17,"12","5.174","89.02324","Unknown","[M-H]-","","0.82","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","21.59","190715_Smp_FK180310S77C1-25m_C","89.02324:3963235 90.02659:164040 91.02995:357874","","89.02325","89.02324","89.02326","89.02329","89.02334","89.02331","89.02332","89.02323","89.02325","89.02332","89.02324","89.02326","89.02328","89.02325","89.02325","89.02332","89.02328","89.02327","89.02324","89.02331","89.02325","89.02326","89.02326","89.02322","89.02325","89.02326","89.02327","89.02325","89.02322","89.02325","89.02324","89.02325","89.02324","89.02325","89.02323","89.02325","89.02328","89.02325","89.02326","89.02326","89.02324","89.02324","89.02327","89.02321","89.02324","89.02324","89.0233","89.02324","89.02328","89.02324"
"18",18,"13","9.291","89.96846","Unknown","[M-H]-","ion correlated with 278","0.76","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","20.4","190715_Poo_TruePooFK180310_DDAneg50","89.96857:1622778 90.97192:0 91.97528:263841","58.82366:6617 75.91634:6823 85.12599:6863 90.00874:16506","89.9685","89.96859","89.96856","89.96854","89.96846","89.96854","89.96857","89.96847","89.96851","89.96856","89.96846","89.96853","89.96852","89.96848","89.9685","89.96857","89.96852","89.96849","89.96849","89.96852","89.96849","89.9685","89.96848","89.96851","89.9685","89.96852","89.96855","89.96851","89.96846","89.9685","89.9685","89.96849","89.96848","89.96847","89.96844","89.96845","89.96849","89.96848","89.96849","89.96849","89.96846","89.96846","89.96846","89.96846","89.96846","89.96846","89.96846","89.96846","89.96846","89.96846"
"19",19,"14","9.811","90.97015","Unknown","[M-H]-","","0.54","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.22","190715_Smp_FK180310S80C1-25m_A","90.97015:2676015 91.9735:0 92.97686:2470136","","90.97021","90.97015","90.97017","90.97015","90.97015","90.97015","90.97015","90.97016","90.9702","90.97015","90.97018","90.97023","90.97021","90.97018","90.97019","90.97015","90.97024","90.97019","90.97018","90.97021","90.97015","90.97015","90.97018","90.97021","90.97019","90.97025","90.97022","90.97015","90.97015","90.97021","90.97021","90.9702","90.97018","90.97015","90.97015","90.97016","90.97021","90.97015","90.97015","90.97021","90.97015","90.97015","90.97015","90.97015","90.97015","90.97015","90.97015","90.97015","90.97015","90.97015"
"20",20,"15","19.343","90.97016","Unknown","[M-H]-","","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","14.28","190715_Smp_FK180310S80C1-25m_A","90.97016:4014214 91.97351:0 92.97687:117157","","90.97018","90.97016","90.97016","90.97016","90.97025","90.97023","90.97016","90.97016","90.97018","90.97016","90.97016","90.97016","90.97018","90.97016","90.97016","90.97016","90.97016","90.97021","90.97016","90.97016","90.97018","90.97016","90.97016","90.97017","90.97018","90.97021","90.97022","90.97016","90.97015","90.97019","90.9702","90.97016","90.97016","90.97016","90.97016","90.97016","90.97019","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016"
"21",21,"16","14.077","90.97016","Unknown","[M-H]-","","0.5","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.3","190715_Smp_FK180310S80C1-25m_A","90.97016:3121486 91.97351:0 92.97687:370643","","90.97016","90.97016","90.97018","90.97016","90.97016","90.97016","90.97016","90.97018","90.97019","90.97016","90.97016","90.97021","90.9702","90.97018","90.97019","90.97016","90.97022","90.97021","90.97017","90.97023","90.97019","90.97016","90.97019","90.97017","90.97018","90.97021","90.97021","90.97016","90.97016","90.97016","90.9702","90.97019","90.97018","90.97016","90.97016","90.97016","90.97023","90.97019","90.97016","90.9702","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016","90.97016"
"22",22,"17","12.848","90.97019","Unknown","[M-H]-","","0.38","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.84","190715_Smp_FK180310S64C1-DCM_B","90.97019:3068530 91.97354:0 92.9769:323082","","90.97019","90.97019","90.97016","90.97019","90.97019","90.97019","90.97019","90.97016","90.9702","90.97019","90.9702","90.97021","90.97019","90.97019","90.97019","90.97019","90.9702","90.97019","90.97018","90.97026","90.97018","90.97019","90.97019","90.97019","90.97019","90.9702","90.97019","90.97019","90.97019","90.9702","90.97019","90.97019","90.97017","90.97019","90.97019","90.97018","90.97019","90.9702","90.97019","90.9702","90.97019","90.97019","90.97019","90.97019","90.97019","90.97019","90.97019","90.97019","90.97019","90.97019"
"23",23,"18","2.346","91.0209","Unknown","[M-H]-","","0.44","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.56","190715_Blk_KM1906U14-Blk_C","91.0209:3754214 92.02425:294137 93.02761:402186","","91.0209","91.02089","91.02088","91.02095","91.0209","91.0209","91.02096","91.0209","91.0209","91.02097","91.0209","91.02094","91.02094","91.0209","91.0209","91.02094","91.02092","91.02092","91.0209","91.02094","91.0209","91.02092","91.0209","91.02087","91.0209","91.0209","91.0209","91.02092","91.0209","91.0209","91.0209","91.02092","91.0209","91.0209","91.02086","91.0209","91.0209","91.02087","91.02089","91.02901","91.0209","91.0209","91.0209","91.0209","91.0209","91.0209","91.0209","91.0209","91.0209","91.0209"
"24",24,"19","9.994","91.05809","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1232.39","190715_Poo_QC-KM1906_E","91.05809:179715 92.06144:0 93.0648:179766","","91.058","91.05804","91.05809","91.0581","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05799","91.05809","91.05809","91.05807","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05801","91.05809","91.05808","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05809","91.05801","91.05809","91.05809","91.05811","91.05798","91.05809","91.05795"
"25",25,"20","9.303","91.96551","Unknown","[M-H]-","ion correlated with 503; ion correlated with 516; ion correlated with 445; ion correlated with 418; ion correlated with 364; ion correlated with 453; adduct linked to 102_[M+Cl]-","0.58","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2411.32","190715_Smp_FK180310S77C1-25m_A","91.96551:286852 92.96886:12171 93.97222:0","","91.96552","91.96551","91.96551","91.96552","91.96551","91.96551","91.96551","91.96552","91.96556","91.96564","91.96551","91.96551","91.96551","91.96551","91.96551","91.96568","91.96551","91.96558","91.96556","91.96558","91.96555","91.96556","91.96556","91.96557","91.96555","91.96558","91.96558","91.96555","91.96551","91.96555","91.96558","91.96555","91.96553","91.96553","91.9655","91.96554","91.96558","91.96553","91.96551","91.96555","91.96551","91.96551","91.96551","91.96551","91.96551","91.96551","91.96551","91.96551","91.96551","91.96551"
"26",26,"21","8.744","92.92683","Unknown","[M-H]-","similar chromatogram in higher mz_193","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1870.08","190715_Smp_FK180310S64C1-25m_B","92.92683:8176326 93.93018:0 94.93354:11076571","","92.92683","92.92683","92.92688","92.92693","92.92683","92.92683","92.92691","92.92683","92.92685","92.92691","92.92686","92.92683","92.92683","92.92683","92.92685","92.92692","92.92683","92.92683","92.92683","92.92688","92.92683","92.92683","92.92683","92.92683","92.92685","92.92683","92.92683","92.92689","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92686","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683"
"27",27,"22","9.551","92.92683","Unknown","[M-H]-","adduct linked to 108_[M+Cl]-","0.64","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8333.74","190715_Smp_FK180310S64C1-25m_B","92.92683:5465252 93.93018:0 94.93354:6620635","","92.92683","92.92685","92.92683","92.92683","92.92683","92.92683","92.92683","92.92683","92.92686","92.92683","92.92686","92.92689","92.92686","92.92683","92.92683","92.92683","92.92686","92.92683","92.92682","92.92686","92.92685","92.92686","92.92684","92.92683","92.92686","92.9269","92.92683","92.92683","92.92681","92.92686","92.92684","92.92683","92.92685","92.9268","92.92683","92.92684","92.92684","92.92683","92.92686","92.92683","92.92683","92.92683","92.92683","92.92681","92.92683","92.92683","92.92686","92.92682","92.92686","92.92683"
"28",28,"23","8.397","92.92685","Unknown","[M-H]-","similar chromatogram in higher mz_181","0.36","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","473.55","190715_Poo_TruePooFK180310_DDAneg20","92.92693:1165202 93.93028:0 94.93364:1314683","51.31097:6954 65.01334:41434 65.99731:15829 68.70119:7620 80.6279:6516 91.11703:7328 92.92696:193971 92.95877:53068 93.00046:10376 93.00838:66125","92.92685","92.92685","92.92685","92.92685","92.92693","92.9269","92.92693","92.92685","92.92686","92.9269","92.92687","92.92685","92.92685","92.92685","92.92685","92.92695","92.92685","92.92685","92.92686","92.92685","92.92685","92.92683","92.92685","92.92685","92.92685","92.92688","92.92687","92.92688","92.92685","92.92685","92.92685","92.92686","92.92682","92.92685","92.92685","92.92683","92.92683","92.92683","92.92685","92.92685","92.92685","92.92685","92.92685","92.92685","92.92685","92.92685","92.92685","92.92685","92.92685","92.92685"
"29",29,"24","8.985","92.92688","Unknown","[M-H]-","similar chromatogram in higher mz_27; similar chromatogram in higher mz_198","0.46","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2871.6","190715_Poo_TruePooFK180310_Fullneg120","92.92688:12263353 93.93023:0 94.93359:29212160","","92.92688","92.92688","92.92688","92.92692","92.92693","92.9269","92.92688","92.9268","92.92685","92.92688","92.92686","92.92688","92.92688","92.92688","92.92682","92.92695","92.92686","92.92685","92.92688","92.9269","92.92685","92.92688","92.92686","92.92688","92.92683","92.92686","92.92688","92.92688","92.92688","92.92686","92.92688","92.92685","92.92688","92.92685","92.9268","92.92683","92.92683","92.92684","92.92688","92.92688","92.92688","92.92688","92.92688","92.92688","92.92688","92.92688","92.92688","92.92688","92.92688","92.92688"
"30",30,"25","9.44","92.95871","Unknown","[M-H]-","","0.92","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","43.28","190715_Poo_TruePooFK180310_DDAneg50","92.95885:2367617 93.9622:268691 94.96556:2559138","51.79037:7264 55.6464:6808 56.82786:6731 59.56223:6086 60.57851:7447 62.42455:7239 65.01334:19554 76.02909:6679 92.92693:249062 92.95898:48836 92.96201:10737 93.00832:20055 93.03349:31071","92.95877","92.95876","92.95876","92.95883","92.95871","92.95877","92.95885","92.95875","92.95876","92.95882","92.95878","92.95879","92.95879","92.95872","92.95876","92.95885","92.95879","92.95876","92.95875","92.95878","92.95874","92.95876","92.95876","92.95873","92.95877","92.9588","92.95879","92.95879","92.95873","92.95876","92.95875","92.95876","92.95874","92.95877","92.95873","92.95874","92.95877","92.95872","92.95876","92.95878","92.95871","92.95871","92.95877","92.95873","92.95871","92.95871","92.95877","92.95871","92.9588","92.95874"
"31",31,"26","4.023","93.00017","Unknown","[M-H]-","","0.8","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.87","190715_Smp_FK180310S62C1-DCM_B","93.00017:564559 94.00352:54461 95.00688:6053806","","93.00011","93.00011","93.00013","93.00018","93.00017","93.00017","93.00019","93.00016","93.00016","93.0003","93.00014","93.00017","93.00018","93.00025","93.00017","93.00025","93.00014","93.00021","93.00015","93.00017","93.00017","93.00015","93.00017","93.00014","93.00015","93.00021","93.00018","93.00016","93.00015","93.00018","93.0001","93.00019","93.00017","93.00018","93.00008","93.00012","93.00021","93.00016","93.00013","93.00021","93.00017","93.00017","93.00008","93.00017","93.00017","93.00017","93.00026","93.00011","93.00018","93.00007"
