"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","File type","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"7","19.727","84.98954","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1002.02","190715_Poo_TruePooFK180310_DDAneg35","84.98952:787015 85.99287:0 86.99623:331194","52.34473:6736 56.78606:6796 61.03242:6405 74.23157:7176 81.97176:7209 83.39713:6567 85.02826:18665","3.7","1","1.4","1.8","7.4","15.3","23.5","0.8","8828.6","2.8","2.8","1.7","4","1","0.9","2.5","1","3","1","27.3","1047.6","4.5","66.2","46.3","35.7","38","22.6","3.5","71.5","16","36.6","0.7","2","0.5","1.8","0","31.4","14","0.4","1.6","1.2","1.3","0.9","1","1","1","1.5","0.7","1.1","1"
"8","9.814","85.02827","Unknown","[M-H]-","","0.22","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.98","190715_Std_4uMStdsMix2InH2O_2","85.02827:595127 86.03162:116942 87.03498:238176","","0.4","1.1","1.7","1.5","0.3","1.1","1.4","1.6","5.9","6.8","1.3","0.7","3.3","0.3","1.2","1.1","5.7","0.2","2.1","6","6.6","1.1","7","1.3","4.2","5.5","6","2","5.8","5.3","5","0.6","1.2","8.3","6.8","1.2","4.8","1.8","1.4","0.9","1.4","0.2","2.9","2.6","13.8","17.3","13.7","19.9","4","1"
"9","9.292","87.97141","Unknown","[M-H]-","ion correlated with 285; ion correlated with 153; adduct linked to 89_[M+Cl]-","0.82","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","95.13","190715_Poo_TruePooFK180310_DDAneg20","87.97149:2423616 88.97484:14968 89.9782:1531308","58.72261:7756 62.7632:7260 70.94494:9782 76.25124:5941 79.78039:6499","44.9","8.7","9.2","36.5","28.8","2.5","22.3","94","70.4","117.5","21","7.3","133.5","27.3","21.6","96.2","32.2","148.3","43.4","72.1","64.3","155.1","158.9","97.1","64.7","75.6","224.5","132.2","163.5","94.2","86.6","58.7","91.7","144","132.7","57.1","77.6","94","110.5","59.1","0","1.1","737.7","1.6","0","0.9","2.1","0.9","3.8","0.7"
"10","10.152","88.03921","Unknown","[M-H]-","ion correlated with 217","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","16.72","190715_Std_4uMStdsMix1InMatrix_2","88.03921:538316 89.04256:192994 90.04592:0","","0.9","11.4","10.9","10.3","2.7","3.8","2.1","1","1","1","3.2","2.7","0.2","5.1","2.3","1.2","6.8","0.9","4.4","1.9","1.9","2.7","1.9","4.1","2","1.2","1.1","2.2","1","2.7","1","1.1","0.5","0.9","1.9","0.8","3.9","1.6","0.8","5.2","39.5","44.1","40.7","51.9","10","11.8","8.4","7.4","7.4","10"
"11","14.025","88.98683","w/o MS2:Ingalls_Oxalic Acid","[M-H]-","","0.48","False","14.494","88.98681","","","","","530","True","True","False","","False","False","null","null","100","100","null","null","null","1605.86","190715_Smp_FK180310S62C1-DCM_B","88.98683:581984 89.99018:0 90.99354:518176","","0","0","3339.9","809.9","4.4","3.6","3.2","16.2","5.7","5","3.1","2.6","2.9","5152","3.9","2.2","2.9","4.5","11.5","2.2","6.8","4","7.1","16.6","3.5","3.6","2.2","3.7","6.1","3.7","4.1","4207.8","13","3.8","13.5","6617.5","1485.5","3","1.7","5.7","3419.9","0","5990.8","6.7","1084.6","1975.1","6.9","1808.6","4.2","2568.3"
"12","5.174","89.02324","Unknown","[M-H]-","","0.82","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","21.59","190715_Smp_FK180310S77C1-25m_C","89.02324:3963235 90.02659:164040 91.02995:357874","","24.2","2.1","21.4","25.9","13.3","4.7","10","31.2","31.4","33.6","1.7","35.5","37.9","18.1","14.4","16.3","22.9","19.8","19.1","15.8","2.4","21.4","3.4","1.7","43.3","16.2","16.4","34.6","2.7","8.9","85.2","29.2","10.3","1.7","41.5","19.5","49.1","12.6","27.3","25.3","1","2.4","10","15","1.1","1.5","9.1","0.7","12.9","1"
"13","9.291","89.96846","Unknown","[M-H]-","ion correlated with 278","0.76","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","20.4","190715_Poo_TruePooFK180310_DDAneg50","89.96857:1622778 90.97192:0 91.97528:263841","58.82366:6617 75.91634:6823 85.12599:6863 90.00874:16506","5.2","5","11.1","8.2","4.5","10.2","12.5","16.6","15.6","27.5","3.1","1.6","44.1","4","20.1","14.8","8.6","28","14","14.6","19.7","23","30.8","15.8","16.3","10.5","25.5","22.3","42.2","13.6","61.1","10.8","18.4","32.2","34.5","11","13.9","68.7","30.1","13.5","0.4","0.3","0.2","0.4","0.3","0.4","0.2","0.3","0.2","0.2"
"14","9.811","90.97015","Unknown","[M-H]-","","0.54","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.22","190715_Smp_FK180310S80C1-25m_A","90.97015:2676015 91.9735:0 92.97686:2470136","","10.4","0.8","1.4","1","0.9","0.6","10.2","5.2","7","13.6","1","11.5","9.9","5.6","6.9","0.2","11.4","10.5","14.8","0.3","3.8","13.2","0.9","3.6","22","0.6","1.4","1.4","11.7","4","15.8","4.7","4.7","0.4","11.6","5.9","7.2","0.1","1.9","4.8","0.2","1.7","9.1","8.5","0.8","0.7","10.2","8.1","9.6","8.1"
"15","19.343","90.97016","Unknown","[M-H]-","","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","14.28","190715_Smp_FK180310S80C1-25m_A","90.97016:4014214 91.97351:0 92.97687:117157","","26.1","1.6","0.7","1.4","2.5","10.6","0.7","0.6","2","1.3","0.3","1.5","24.9","0.7","0.6","0.3","0.1","20.9","1.1","1.2","6.4","1.5","16.4","3.4","30.7","1.3","14.8","0.6","20.4","11.2","11","0.9","0.4","1.3","12.4","1.2","21.1","23.1","0.9","2.2","0.6","0.8","0.5","0.3","0.6","1.2","0.2","0.1","0.2","0.2"
"16","14.077","90.97016","Unknown","[M-H]-","","0.5","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.3","190715_Smp_FK180310S80C1-25m_A","90.97016:3121486 91.97351:0 92.97687:370643","","17.6","13.8","9.7","3.8","1.8","1","1.3","7.6","2.3","4","1.4","0.9","16.8","3.5","2.9","3.2","9","8","1.3","7.9","1.3","5.2","15.6","8.5","8.6","8.9","2.9","14","0.6","1.1","17.2","2.1","3.7","1","1.6","0.6","7.2","2.7","15.8","6.8","1.6","0.5","8.2","12.4","0.9","0.8","12.7","13.1","0.8","13.1"
"17","12.848","90.97019","Unknown","[M-H]-","","0.38","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.84","190715_Smp_FK180310S64C1-DCM_B","90.97019:3068530 91.97354:0 92.9769:323082","","1","1.3","8.6","1.4","1.8","1","1.3","6.6","8.6","21.3","0.9","1","1.5","0.4","0.9","0.9","11.5","12.7","5.5","7.4","5.1","17.8","16.6","6.2","11.6","13.9","15.3","13.4","19.7","17.4","1","6.8","18.3","18.9","18.9","14.6","0.1","6.7","16.9","0.6","1.4","0.5","0.8","0.3","1","0.8","1.3","1.2","1.3","0.1"
"18","2.346","91.0209","Unknown","[M-H]-","","0.44","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.56","190715_Blk_KM1906U14-Blk_C","91.0209:3754214 92.02425:294137 93.02761:402186","","10.2","9.5","7.7","14","0.8","0.2","0.6","7.1","6.4","8.9","3.9","6.3","6.6","3","1.5","6.2","6","8","11.5","3.6","10.2","8.7","5.4","3.7","8.4","4.4","3.9","8.2","5.9","10.5","14.9","5.2","2.5","7.4","5.6","3.3","7","6.3","4","3.7","0.7","1.3","4.7","4.8","1","2.4","2.8","5.5","3.2","6"
"19","9.994","91.05809","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1232.39","190715_Poo_QC-KM1906_E","91.05809:179715 92.06144:0 93.0648:179766","","1514.6","10.2","3594.3","3584.5","7.9","2.5","2.4","9.2","5.5","4.4","2.6","1.6","1.1","7.7","6.3","11.3","1136.4","2.9","8.3","4.4","7.4","2.7","3.2","8.4","6","794","3.3","6","0","2.4","2.9","14","3.9","3.5","5.4","5.4","3.3","3.5","2.4","3.3","0","3.4","27","1473.5","3.2","0","2159.6","1718.6","12.3","9.3"
"20","9.303","91.96551","Unknown","[M-H]-","ion correlated with 503; ion correlated with 516; ion correlated with 445; ion correlated with 418; ion correlated with 364; ion correlated with 453; adduct linked to 102_[M+Cl]-","0.58","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2411.32","190715_Smp_FK180310S77C1-25m_A","91.96551:286852 92.96886:12171 93.97222:0","","882.8","3.3","3.9","1418.9","19.1","7.3","9.2","2232.7","12.6","5231.2","10","8.1","77.4","645.1","2.6","2777.5","15.2","4379","8.4","1953","11.9","4276.9","5296.2","12","1960.4","2115","5586.7","4340","5737","2512.9","2340.3","5.1","10.8","4922.3","5374.2","1923.2","9.5","2477.9","99.2","1474.3","4.9","0","7.1","0","0","0","0","0","0","0"
"21","8.744","92.92683","Unknown","[M-H]-","similar chromatogram in higher mz_193","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1870.08","190715_Smp_FK180310S64C1-25m_B","92.92683:8176326 93.93018:0 94.93354:11076571","","0.7","25.9","171.2","15.6","12.6","1","120.2","15.3","82.5","6.6","119.7","4.6","4.1","46","12.1","17.8","68","25.8","3.3","124.8","10.5","132","4.5","237.2","102.3","9.3","20.5","33.1","4.1","23.7","26.3","4.2","10.2","60.5","69.3","4","15.8","5.9","26915","21.2","0.7","0","27.2","0.9","0","0.6","47.3","40.3","30.1","16"
"22","9.551","92.92683","Unknown","[M-H]-","adduct linked to 108_[M+Cl]-","0.64","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8333.74","190715_Smp_FK180310S64C1-25m_B","92.92683:5465252 93.93018:0 94.93354:6620635","","97.1","64.6","136.6","1.1","450","8.4","160.4","22075.2","403.6","129.6","23.6","122","387.8","18.6","4.7","1.7","27500.9","97.6","41935","134.6","30336","69.6","90.8","469.7","158.1","121","33.7","135.8","81.8","203.5","264.9","132.2","153","116.7","62.8","25677.9","25345.5","26409.1","20258","129.4","1.2","0","4195.8","65.8","0","0","22036.3","81.7","17543.5","192.9"
"23","8.397","92.92685","Unknown","[M-H]-","similar chromatogram in higher mz_181","0.36","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","473.55","190715_Poo_TruePooFK180310_DDAneg20","92.92693:1165202 93.93028:0 94.93364:1314683","51.31097:6954 65.01334:41434 65.99731:15829 68.70119:7620 80.6279:6516 91.11703:7328 92.92696:193971 92.95877:53068 93.00046:10376 93.00838:66125","0.5","0","48.9","7.6","53.7","111.5","20.5","34.5","179.8","32.5","266.8","3.7","13.8","0.5","178.3","69.9","45.8","27.2","100.6","49.6","47.3","23.2","38.8","189.3","114.2","140.3","23.6","35","33.6","220.5","378","61.9","510","45.5","76.2","42.4","6438","36.2","44.2","9.3","0","0","18.2","0.6","0","0.4","0.5","0","20.2","10.7"
"24","8.985","92.92688","Unknown","[M-H]-","similar chromatogram in higher mz_27; similar chromatogram in higher mz_198","0.46","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2871.6","190715_Poo_TruePooFK180310_Fullneg120","92.92688:12263353 93.93023:0 94.93359:29212160","","40.1","27.8","78.5","50.7","60.7","416.9","6.3","12099.7","424.5","63.1","259.7","407","8.5","49.4","324.5","221.1","27911.8","24.2","26.8","41.3","13334.6","18.6","51.5","152.7","4.9","389.2","27.5","14.3","0.4","102.6","8.6","8.5","110.4","8.6","75.4","2326.2","7479.7","23.3","6.7","5.8","0.9","0","29.2","0.9","0","0","50.8","0","32.4","17.2"
"25","9.44","92.95871","Unknown","[M-H]-","","0.92","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","43.28","190715_Poo_TruePooFK180310_DDAneg50","92.95885:2367617 93.9622:268691 94.96556:2559138","51.79037:7264 55.6464:6808 56.82786:6731 59.56223:6086 60.57851:7447 62.42455:7239 65.01334:19554 76.02909:6679 92.92693:249062 92.95898:48836 92.96201:10737 93.00832:20055 93.03349:31071","114.9","37.4","27.5","24.7","0.1","6.1","38","24.4","29","48.3","4.7","90.7","96.5","69.1","28.4","76.3","35.7","70.7","17.1","17.9","8.4","30.5","27.9","7","33.7","26.5","37.6","18.3","47.5","25.9","80.9","17.8","15.7","29.7","26","53.2","5.3","55.3","25.3","1.9","0.6","6.5","14.3","40.1","0.2","0.3","20.9","141.7","132.2","203.2"
"26","4.023","93.00017","Unknown","[M-H]-","","0.8","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.87","190715_Smp_FK180310S62C1-DCM_B","93.00017:564559 94.00352:54461 95.00688:6053806","","13.6","11.2","14.3","8","0.7","2","3.2","3.9","3.6","2.8","3.9","2.1","5.4","6.5","5.4","6.8","4.6","5.3","9","0.9","6.1","4.5","6.1","17.2","3.4","7.4","4.2","8.4","2.3","5.3","5.4","8.6","2","5.1","4","8.3","3.7","6.2","9.6","5.5","0.4","2.1","10.7","0.9","0.3","0.4","12.8","4.7","9.1","8.6"
"27","8.825","94.92391","Unknown","[M-H]-","","0.6","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","31.01","190715_Poo_TruePooFK180310_Fullneg120","94.92391:8041992 95.92726:0 96.93062:4860628","","0.8","0.6","43.5","0.9","18.2","35.9","20.7","1.8","2.6","2.2","33.2","60.9","0.9","0.3","185.9","51.7","5.1","12.3","82.2","0.1","9.3","15.2","12.3","66","7.2","40.2","15","3.9","19.2","115.9","3.9","0.6","6.8","2.8","13.9","0.1","18.2","15.1","1.9","11","0","0.3","1","0.8","0","0.2","0.7","0.4","5.6","0.9"
"28","9.467","94.92391","Unknown","[M-H]-","adduct linked to 116_[M+Cl]-; similar chromatogram in higher mz_39","0.82","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","38.46","190715_Poo_TruePooFK180310_DDAneg35","94.92393:2193796 95.92728:0 96.93064:858208","56.76255:6097 56.90789:7366 57.22867:6558 60.73103:7038 63.65205:8438 63.94067:7556 69.78148:6443 76.78153:6075 76.96886:282168 78.17:6597 90.33135:6833 94.92395:185782 94.97948:159634 94.98263:12286","6","5.7","0.3","1.1","25.3","10.5","33.4","28.9","82.8","27.6","24.5","60.7","127.2","1.9","0.7","38.8","28.2","18.9","53.6","33.3","27.7","13.9","20.1","121.8","37.8","66.1","15.2","6.2","25.4","73","60.3","37.6","15.2","22.3","38","32.9","26.3","19.3","38.7","1.4","0","0.3","14.5","23.1","0","0.3","74","31.8","58.6","88.2"
"29","7.777","94.97949","w/o MS2:Ingalls_Methylphosphonic Acid","[M-H]-","","0.42","False","11","94.9795","","","","","530","True","True","False","","False","False","null","null","100","99.9","null","null","null","9.78","190715_Std_H2OinMatrix_2","94.97949:8764883 95.98284:353456 96.9862:126338","","1.2","0.9","19.1","24.9","0.3","1.5","2.6","2.3","15.5","22.1","2.1","1.9","5.2","3.8","1.8","4.9","11.9","19.2","11.4","5.4","4.1","7.3","26.5","0.7","15.2","0.6","2.1","9.3","7","1","15.5","1.8","0.4","4.6","9.1","11.7","9.8","17.1","17.1","0.7","0.9","0.3","0.7","1.7","0.5","0.3","3.3","0.7","0.9","13.3"
"30","10.09","94.97952","Unknown","[M-H2O-H]-","adduct linked to 172_[M+Cl]-","0.68","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","66.7","13.83","190715_Poo_TruePooFK180310_DDAneg20","94.97952:2626846 95.98287:205171 96.98623:8020772","55.00479:7325 59.96602:16033 75.96101:16494 76.96889:3223846 78.91765:18994 79.99649:8065 84.61099:7059 85.47231:6793 86.1125:7168 91.30093:8524 94.91267:46924 94.92404:9981 94.95612:58488 94.97952:1661331 95.02402:33472","0.7","18.3","0.7","1.6","19.8","19.4","22.5","22.3","23.6","16.3","2.4","0.9","11.3","23.5","2.6","1.2","1.5","15.5","18.5","25.8","1.7","20.4","1.6","21.6","24.9","3.5","19","25.8","1.5","28.4","22.3","0.7","22.9","19.2","19.6","21.8","3","19.9","1.5","23.2","1.1","5.6","1.9","16.6","0.2","0.2","4.1","0.3","0.3","15.5"
"31","5.295","94.97955","Unknown","[M-H]-","","0.48","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","12.49","190715_Poo_QC-KM1906_D","94.97955:11424355 95.9829:447583 96.98626:210103","","1.1","30.2","22.2","27.7","2.1","1.9","0.3","7.6","1.4","4.9","1.3","0.6","1.9","1.5","0.8","0.6","9.6","5.1","5.7","1.3","5.3","0.2","7.6","5.9","7.9","1.7","1.2","8.5","10.2","0.9","0.9","1.9","1.2","1.2","4.1","14.9","13.9","2.5","0.7","1","0.4","0.4","24.8","20.5","0.2","0.1","17.3","11.6","23.7","9.3"
"32","12.991","94.97967","Unknown","[M-H]-","","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.86","190715_Std_4uMStdsMix2InMatrix_1","94.97967:3330276 95.98302:779827 96.98638:821408320","","0.4","0.4","4","5.6","1.9","2.5","7.3","6.1","7.3","2","0.7","0.9","0.6","0.6","6","7.7","3.9","0.6","6.7","7","1.4","6.7","0.9","7.3","6.6","8.7","7.2","5.9","1.6","1.3","5.4","5.9","7.7","5.9","6.7","4.5","4","0.8","0.9","6.2","0.3","1.1","0.2","0.9","0.3","1","19.3","0.4","0.6","0.9"
"33","12.993","95.95102","Unknown","[M-H]-","","0.4","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","13.47","190715_Smp_FK180310S64C1-DCM_C","95.95102:722166 96.95437:1205801472 97.95773:10371320","","21.2","0.4","8.7","10.2","9.1","16.2","8.6","15.6","10.8","22","2.4","2.8","29.7","0","17","12","9.5","8.6","11.3","7","15.4","19.5","5","10.4","20.7","16.7","2.1","24.2","22","17.1","12","13.7","17.2","3.6","18.5","16.8","4.8","10.1","8.8","17.2","0","0.4","0","0","0","0","0","0","0","0"
