"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49","NA.","NA..1"
"13",13,"8","9.814","85.02827","Unknown","[M-H]-","","0.22","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.98","190715_Std_4uMStdsMix2InH2O_2","85.02827:595127 86.03162:116942 87.03498:238176","","159604","356198","1870056","3334762","303859","627961","553645","941559","2650527","2860581","439795","339520","819153","96728","1507982","2336983","2827462","657352","2136618","2677684","2776996","1554038","2510824","946566","1542730","1838001","2463523","2538326","1436723","2603716","1367170","1506199","1238642","2976258","3220552","1655125","2114063","2840911","1586696","1707694","855072","322084","1598749","1002368","8796193","10209479","10119871","9838484","2537056","309483","2270232.4578125","2410203.11529836"
"14",14,"9","9.292","87.97141","Unknown","[M-H]-","ion correlated with 285; ion correlated with 153; adduct linked to 89_[M+Cl]-","0.82","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","95.13","190715_Poo_TruePooFK180310_DDAneg20","87.97149:2423616 88.97484:14968 89.9782:1531308","58.72261:7756 62.7632:7260 70.94494:9782 76.25124:5941 79.78039:6499","8232433","749112","2839500","12745840","16155378","5447437","14140635","25310292","23628942","72999328","10536143","7787292","69749912","3116472","7652802","31636690","11260228","64875112","21180440","21506108","33181460","67042056","82730064","27133726","21734128","24438654","80740832","60667484","85889024","30610108","24127020","21282520","24569444","72892752","78744872","15823865","18944404","31457818","74970056","14159497","0","56556","289507","110826","0","48224","190174","69319","273424","35224","26475262.6989063","27440147.4036976"
"15",15,"10","10.152","88.03921","Unknown","[M-H]-","ion correlated with 217","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","16.72","190715_Std_4uMStdsMix1InMatrix_2","88.03921:538316 89.04256:192994 90.04592:0","","43070","906443","1713527","2299752","259645","214053","133201","45970","89877","47411","151303","270824","115715","471547","178494","88926","1288929","42625","798654","115541","109611","180287","139751","566829","105258","56012","92644","174204","71752","156374","46495","50436","88033","87105","140353","37198","332636","83167","37271","533511","6102964","5713184","6987446","6686401","1142151","1210983","1130786","914564","398030","1021813","873455.105546875","1715192.01657716"
"16",16,"11","14.025","88.98683","w/o MS2:Ingalls_Oxalic Acid","[M-H]-","","0.48","False","14.494","88.98681","","","","","530","True","True","False","","False","False","null","null","100","100","null","null","null","1605.86","190715_Smp_FK180310S62C1-DCM_B","88.98683:581984 89.99018:0 90.99354:518176","","0","0","2294386","2285613","513988","403125","423600","1435585","1000467","1729513","292669","530190","523046","2422113","1080162","1231015","1046752","2287104","2160200","1741434","6956976","1760020","2149764","7132024","902966","2634281","1042269","2137149","2281137","2800825","1660381","6061150","4566292","1731280","2729598","3556634","821905","2045626","4137331","2660662","3275242","0","4809498","2435237","913939","786434","3107156","1601073","1617955","2120535","2076726.044375","1636562.48037241"
"17",17,"12","5.174","89.02324","Unknown","[M-H]-","","0.82","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","21.59","190715_Smp_FK180310S77C1-25m_C","89.02324:3963235 90.02659:164040 91.02995:357874","","14796772","776254","14725713","31915556","6848424","3214003","4981935","27585974","23402708","21343990","1724324","8624562","7759260","13584010","17749990","18773812","21827584","24489632","14063987","23843536","7025748","24334504","10896117","9624391","42250788","18430324","12952924","40510868","9799040","11007534","60348160","34286540","10038403","15109342","40866332","13958748","28013916","13431197","14292025","27116822","510208","609654","11832041","16652999","472508","226911","8860077","218536","14147918","236854","16001869.0928125","12735431.1587478"
"18",18,"13","9.291","89.96846","Unknown","[M-H]-","ion correlated with 278","0.76","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","20.4","190715_Poo_TruePooFK180310_DDAneg50","89.96857:1622778 90.97192:0 91.97528:263841","58.82366:6617 75.91634:6823 85.12599:6863 90.00874:16506","5252878","360725","1810707","8543183","5685851","11375136","15420733","16508092","15093577","48885704","3997245","4313789","42814852","3505662","4758548","20671236","8820728","43527648","14260133","15777139","22188318","44333432","55950668","18088758","13856389","16388162","53836196","40649112","57063708","19634924","16216283","13688981","16825760","48496228","52301964","13929592","12576658","20761348","49927732","11736455","55709","46594","57573","89391","45569","56866","27463","51573","27765","30519","17806465.1117578","18125384.0330284"
"19",19,"14","9.811","90.97015","Unknown","[M-H]-","","0.54","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.22","190715_Smp_FK180310S80C1-25m_A","90.97015:2676015 91.9735:0 92.97686:2470136","","34203144","3528938","13920931","30509950","9969993","6187812","13569309","14816356","26010802","25887896","3164854","11092409","10451683","24005992","26943042","9074407","32092900","34871340","8253740","7479124","6011246","36122568","23270140","9595622","38842136","14602281","24151122","20447570","19749604","13097551","21780270","10796142","6025147","11023221","28871116","9689505","27579878","4906538","16690989","9278380","10851503","33062880","38028404","32457056","14562610","16016559","29750048","25333254","29493502","29890410","19160237.48","10488576.7053952"
"20",20,"15","19.343","90.97016","Unknown","[M-H]-","","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","14.28","190715_Smp_FK180310S80C1-25m_A","90.97016:4014214 91.97351:0 92.97687:117157","","92529400","30061328","29358604","30844814","9406335","24348854","6537639","15458720","35546156","32193884","3640198","12657459","61956668","23141940","22286084","13797559","13824419","111418912","23516058","22320466","43621036","41284228","62507128","24969416","98108344","32074812","83069664","23504798","87975776","72991368","78091624","20095182","12248699","26737678","80016904","20552878","83911752","85921040","32476178","46410280","14597168","16465536","8950424","16616589","13463465","20190728","13197454","11001248","10742694","12976134","36192314.44","28955920.9785706"
"21",21,"16","14.077","90.97016","Unknown","[M-H]-","","0.5","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.3","190715_Smp_FK180310S80C1-25m_A","90.97016:3121486 91.97351:0 92.97687:370643","","35787656","24605402","49087764","39398036","6340259","5234822","4598494","29993314","16970932","43093608","4585570","4433852","32696276","26418464","26134722","23644482","63760028","80084912","11149397","33391686","13210551","42041492","67947072","15859989","74497304","34074208","33153026","81923680","27416230","10052582","53927640","9052049","19470328","13997916","41031608","13095176","41987912","17020320","76467296","30949704","26928388","17120034","24627756","23343850","20569606","16687061","58606392","28473792","4771937","44020444","30874700.38","21008732.1123359"
"22",22,"17","12.848","90.97019","Unknown","[M-H]-","","0.38","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.84","190715_Smp_FK180310S64C1-DCM_B","90.97019:3068530 91.97354:0 92.9769:323082","","24543916","33060398","16791048","30817810","7046526","6424438","8360205","13997842","22110098","38688180","3445425","6309286","9226370","11951048","24867024","21768370","31036504","24795198","11006165","12693043","12844007","39733472","21853962","11629132","39204432","17295092","39148332","30344994","39929712","16255610","19606960","9479337","10244270","39775172","30291076","17190200","8556807","15398448","22739346","10543377","23695088","13085577","26911118","12141428","17981598","14821092","39997344","25411436","20968518","8418370","20288684.015","10729621.7047699"
"23",23,"18","2.346","91.0209","Unknown","[M-H]-","","0.44","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.56","190715_Blk_KM1906U14-Blk_C","91.0209:3754214 92.02425:294137 93.02761:402186","","57365264","31762714","34199972","54077532","3297659","2733707","3636536","24126938","25098568","33512800","4311128","10339923","24240558","14118663","9604616","19984456","26417514","28585284","37042492","17679404","33690232","34248268","24045034","14291680","32299696","21045192","18426754","31093454","32212552","36756892","52383656","29664048","13159815","28280590","30343942","16040826","27647132","27720016","20125700","22972230","5207286","7303226","24322974","23580514","6014938","13637138","18023430","27366088","15149657","24586642","23475506.6","12518889.4281489"
"24",24,"19","9.994","91.05809","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1232.39","190715_Poo_QC-KM1906_E","91.05809:179715 92.06144:0 93.0648:179766","","669217","1089183","1997656","2004977","64352","8691","8032","194154","100598","88426","11002","6528","19102","529846","89906","199421","456397","39975","200321","56968","165922","37025","45186","193021","94306","230847","68866","518637","0","32983","34699","400703","54007","50743","115334","114384","46010","74236","33523","45179","0","46752","561356","526479","43806","0","910054","501194","923183","726025","288584.221044922","446935.302427659"
"25",25,"20","9.303","91.96551","Unknown","[M-H]-","ion correlated with 503; ion correlated with 516; ion correlated with 445; ion correlated with 418; ion correlated with 364; ion correlated with 453; adduct linked to 102_[M+Cl]-","0.58","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2411.32","190715_Smp_FK180310S77C1-25m_A","91.96551:286852 92.96886:12171 93.97222:0","","567204","29361","44700","882580","1440782","885217","379924","1276370","2217905","7322038","510634","638912","2156183","231673","29384","3098577","260160","5480012","1728969","2058950","3132636","4056734","7779276","2589986","2219261","2318673","7578064","5620064","8708841","2366610","1991534","1164461","2404755","6904690","7060682","2007970","1919247","2678016","2419953","1164277","43011","0","61793","0","0","0","0","0","0","0","2148601.31285156","2435852.80755699"
"26",26,"21","8.744","92.92683","Unknown","[M-H]-","similar chromatogram in higher mz_193","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1870.08","190715_Smp_FK180310S64C1-25m_B","92.92683:8176326 93.93018:0 94.93354:11076571","","53162","10281235","78301512","17658672","7177356","2274801","11191038","27324744","103030368","35223448","3644928","5974144","8010964","19243938","63019424","18779256","47785596","24254664","31924114","44762856","21362242","29934224","13104696","76627792","98862704","32033216","19225612","31570628","11410225","127995960","50325284","24339598","42213080","47437756","80874944","12941510","10575718","10698911","40249632","28234150","48566","0","5927688","58677","0","47771","20779930","23914382","10259195","1964826","28658702.7678125","29520581.5384095"
"27",27,"22","9.551","92.92683","Unknown","[M-H]-","adduct linked to 108_[M+Cl]-","0.64","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8333.74","190715_Smp_FK180310S64C1-25m_B","92.92683:5465252 93.93018:0 94.93354:6620635","","33352422","17486568","39416604","43849","22615260","4002804","16169541","17039282","66356912","26660254","3067899","3986070","16079500","10912423","217852","66418","27520112","20943592","26908038","21181268","37877564","18711848","25527774","68274816","39207068","49663548","12840780","19302398","23847022","66224328","41547396","23782594","51717816","19383776","22657528","15885537","18756650","25917872","19289678","16948074","48566","0","8307318","10542906","0","0","19841916","29828204","22848374","20345512","22063070.6013281","17131948.6603916"
"28",28,"23","8.397","92.92685","Unknown","[M-H]-","similar chromatogram in higher mz_181","0.36","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","473.55","190715_Poo_TruePooFK180310_DDAneg20","92.92693:1165202 93.93028:0 94.93364:1314683","51.31097:6954 65.01334:41434 65.99731:15829 68.70119:7620 80.6279:6516 91.11703:7328 92.92696:193971 92.95877:53068 93.00046:10376 93.00838:66125","53162","0","77570376","9200584","7255853","9727132","1371710","24695270","156541632","17240264","9043601","2356120","17786734","54105","128833080","25489694","47793732","12318271","91147752","44762856","36291760","11398056","26004790","174113392","95714320","30729220","20527854","44892208","22120540","178515568","119160552","42632952","133727632","47712008","72454088","35851768","10575719","39119948","40249632","11638220","0","0","5927688","58677","0","47771","49682","0","10259195","1964826","37899599.895","48199128.2741887"
"29",29,"24","8.985","92.92688","Unknown","[M-H]-","similar chromatogram in higher mz_27; similar chromatogram in higher mz_198","0.46","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2871.6","190715_Poo_TruePooFK180310_Fullneg120","92.92688:12263353 93.93023:0 94.93359:29212160","","15807887","10257137","58353772","27884870","5590783","11207362","3707842","19963886","186440560","65452184","9989989","17893286","13630542","19243938","128939560","44409596","47793732","27005412","48584364","43602844","40503012","30435344","30299890","115710040","40429508","80434416","30556130","20577108","5304448","97889848","40416400","24339598","84918808","15600285","46455744","15248254","30615760","37889380","21203134","17004854","45396","0","5927688","58677","0","0","20779930","0","10259195","1964826","33412544.3697656","36945767.0021309"
"30",30,"25","9.44","92.95871","Unknown","[M-H]-","","0.92","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","43.28","190715_Poo_TruePooFK180310_DDAneg50","92.95885:2367617 93.9622:268691 94.96556:2559138","51.79037:7264 55.6464:6808 56.82786:6731 59.56223:6086 60.57851:7447 62.42455:7239 65.01334:19554 76.02909:6679 92.92693:249062 92.95898:48836 92.96201:10737 93.00832:20055 93.03349:31071","34353384","62600612","18453496","53230656","19916","3305624","20953024","39176852","49521276","76643736","1141503","25539846","53186960","39518900","41801944","48069996","32701976","60045332","26387330","21539690","9564836","42428536","70541240","9717260","44236920","28602566","77260504","24421186","77937864","49503884","54302412","19682396","15529315","69885768","66046704","31729844","6683653","44518056","27801462","13639217","256671","626137","15947171","38619912","48223","53575","36858152","66953904","44286272","93912832","35795770.4791406","24522774.320414"
"31",31,"26","4.023","93.00017","Unknown","[M-H]-","","0.8","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.87","190715_Smp_FK180310S62C1-DCM_B","93.00017:564559 94.00352:54461 95.00688:6053806","","5113855","1912225","2374185","3434504","383368","542071","1005731","2789430","2357248","5393763","567573","886232","2380345","2256645","1944104","2021455","3590021","5822543","5504432","258179","7822776","4705388","2954766","3643277","3388086","2908625","3683242","3244221","2233463","6147880","1883450","3171576","788269","4516226","6637010","2518704","4280127","6658804","5225599","2503736","279656","583032","1254189","285166","350377","127096","2358086","1330086","1713550","1677667","2788240.77953125","1958740.81968587"
"32",32,"27","8.825","94.92391","Unknown","[M-H]-","","0.6","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","31.01","190715_Poo_TruePooFK180310_Fullneg120","94.92391:8041992 95.92726:0 96.93062:4860628","","633389","669725","22041594","6217286","5816084","5867842","5095268","11578976","41302936","13869208","2954538","11461765","4353026","502336","156123568","34091324","13564379","21402408","66125432","5052378","23481054","9386013","28709940","62805420","36890636","54428092","17367646","19674678","23813088","65982200","33157862","7867106","39692868","11502982","31414458","3356792","17918934","27935582","8297110","22423672","0","66486","694805","232063","0","43386","606277","140611","4285420","249141","19622955.6817969","26739856.6909642"
"33",33,"28","9.467","94.92391","Unknown","[M-H]-","adduct linked to 116_[M+Cl]-; similar chromatogram in higher mz_39","0.82","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","38.46","190715_Poo_TruePooFK180310_DDAneg35","94.92393:2193796 95.92728:0 96.93064:858208","56.76255:6097 56.90789:7366 57.22867:6558 60.73103:7038 63.65205:8438 63.94067:7556 69.78148:6443 76.78153:6075 76.96886:282168 78.17:6597 90.33135:6833 94.92395:185782 94.97948:159634 94.98263:12286","9307888","7387581","92779","240633","8999202","6637896","5373351","11573658","45090780","18374054","2521072","12058501","12581456","6237976","237227","20420278","17265122","12806528","17093106","16043026","25193548","8551252","16398167","47201576","25318050","24902630","17482668","5431066","15365510","45562976","25018008","14673948","35823348","12944507","15890867","9768655","12223478","17750238","12499345","9818755","0","96121","6066317","8181854","0","45115","16578891","12195213","18444106","13440615","14064178.7279688","11253999.8396053"
"34",34,"29","7.777","94.97949","w/o MS2:Ingalls_Methylphosphonic Acid","[M-H]-","","0.42","False","11","94.9795","","","","","530","True","True","False","","False","False","null","null","100","99.9","null","null","null","9.78","190715_Std_H2OinMatrix_2","94.97949:8764883 95.98284:353456 96.9862:126338","","34141628","29525000","92345696","98696424","6802686","13369737","22579766","39350788","173446352","241538128","13443055","12116869","49177720","62930896","40204380","58299272","129057976","224915712","111095328","85700344","74068248","109448072","190484960","48049256","159093728","26096824","46530584","148126320","56611004","37506752","173373584","39787592","27043712","97749688","87183208","159707072","102184224","181710800","140251056","27736506","16565863","27978962","14245835","78836816","14583742","39988336","31889878","34362012","19782616","185484768","78703995.51","63234780.0242388"
